X	fragments	sample
28x25	51486	Bladder111
23x66	20045	Bladder111
62x1	139064	Bladder111
72x56	43694	Bladder111
3x23	59282	Bladder111
65x7	25638	Bladder111
47x7	26494	Bladder111
47x29	35558	Bladder111
58x37	36424	Bladder111
18x24	5297	Bladder111
60x5	27082	Bladder111
22x36	26246	Bladder111
44x65	17297	Bladder111
62x58	36141	Bladder111
66x26	52871	Bladder111
63x35	23433	Bladder111
47x32	54714	Bladder111
62x19	56343	Bladder111
37x22	83265	Bladder111
63x9	40370	Bladder111
64x37	34555	Bladder111
48x34	46935	Bladder111
37x55	24901	Bladder111
1x22	174920	Bladder111
14x36	20382	Bladder111
41x63	12256	Bladder111
41x39	64394	Bladder111
29x2	23988	Bladder111
50x52	16306	Bladder111
12x58	13774	Bladder111
29x11	22385	Bladder111
26x56	11478	Bladder111
57x27	50441	Bladder111
46x39	44629	Bladder111
67x13	73132	Bladder111
22x35	18695	Bladder111
21x46	46473	Bladder111
47x45	37087	Bladder111
22x40	31430	Bladder111
4x46	37385	Bladder111
55x22	43741	Bladder111
61x27	45827	Bladder111
63x29	25520	Bladder111
55x55	25458	Bladder111
10x7	23513	Bladder111
53x18	35831	Bladder111
13x42	32922	Bladder111
5x64	21722	Bladder111
36x8	10153	Bladder111
19x6	17035	Bladder111
35x31	28370	Bladder111
45x3	45073	Bladder111
26x57	8616	Bladder111
19x16	72799	Bladder111
24x39	29250	Bladder111
65x57	14383	Bladder111
50x27	50187	Bladder111
36x66	15148	Bladder111
27x41	34894	Bladder111
61x34	34867	Bladder111
46x12	43915	Bladder111
36x32	21036	Bladder111
9x28	57614	Bladder111
57x49	16006	Bladder111
11x36	31582	Bladder111
40x55	26227	Bladder111
1x67	65875	Bladder111
52x56	14375	Bladder111
28x32	32759	Bladder111
66x1	74466	Bladder111
26x52	18395	Bladder111
70x51	26419	Bladder111
23x56	12609	Bladder111
39x14	88802	Bladder111
53x70	15674	Bladder111
45x19	55827	Bladder111
23x69	24635	Bladder111
1x32	101398	Bladder111
57x35	30552	Bladder111
21x13	36178	Bladder111
34x39	49977	Bladder111
29x40	71806	Bladder111
17x69	23487	Bladder111
3x5	59592	Bladder111
3x55	39978	Bladder111
28x37	26685	Bladder111
25x57	10508	Bladder111
48x68	49179	Bladder111
11x9	44309	Bladder111
34x49	23027	Bladder111
34x24	21176	Bladder111
40x12	40590	Bladder111
36x48	48003	Bladder111
1x34	156768	Bladder111
66x24	40065	Bladder111
37x61	25643	Bladder111
56x28	32838	Bladder111
20x65	8388	Bladder111
12x44	23985	Bladder111
10x37	39843	Bladder111
8x39	60927	Bladder111
15x28	23765	Bladder111
24x30	37226	Bladder111
54x15	29133	Bladder111
1x45	89424	Bladder111
31x45	23441	Bladder111
30x36	23566	Bladder111
48x31	68174	Bladder111
41x66	30370	Bladder111
55x12	30318	Bladder111
17x66	17728	Bladder111
31x9	19580	Bladder111
24x10	37411	Bladder111
39x41	94744	Bladder111
19x18	43325	Bladder111
63x55	20976	Bladder111
39x39	122996	Bladder111
21x17	32410	Bladder111
2x42	32915	Bladder111
58x13	58839	Bladder111
13x65	14898	Bladder111
49x27	49150	Bladder111
39x53	27304	Bladder111
72x59	40978	Bladder111
42x51	15722	Bladder111
68x11	49617	Bladder111
57x57	19778	Bladder111
61x44	23503	Bladder111
41x40	70848	Bladder111
7x52	26216	Bladder111
9x22	40107	Bladder111
23x8	22814	Bladder111
54x6	18707	Bladder111
16x69	16733	Bladder111
23x70	21772	Bladder111
18x32	6994	Bladder111
72x70	23684	Bladder111
60x47	27324	Bladder111
29x42	38068	Bladder111
11x53	17021	Bladder111
4x50	49637	Bladder111
44x70	18181	Bladder111
26x12	39467	Bladder111
11x7	33130	Bladder111
10x43	28463	Bladder111
43x65	24481	Bladder111
49x62	13225	Bladder111
62x14	88635	Bladder111
72x57	53182	Bladder111
44x64	18380	Bladder111
56x22	39093	Bladder111
56x67	27507	Bladder111
26x24	30936	Bladder111
28x44	33728	Bladder111
40x5	29945	Bladder111
38x10	44758	Bladder111
51x63	10957	Bladder111
52x21	39393	Bladder111
6x18	51379	Bladder111
10x55	21090	Bladder111
10x70	16700	Bladder111
55x9	31490	Bladder111
39x11	31097	Bladder111
2x37	55603	Bladder111
53x10	30532	Bladder111
16x48	33775	Bladder111
46x22	32301	Bladder111
2x22	76269	Bladder111
22x14	44770	Bladder111
13x5	35185	Bladder111
18x52	1981	Bladder111
59x35	29856	Bladder111
54x4	17499	Bladder111
29x39	65940	Bladder111
57x7	29465	Bladder111
2x72	73948	Bladder111
24x16	43822	Bladder111
62x43	53602	Bladder111
54x47	22405	Bladder111
62x59	23492	Bladder111
18x61	2358	Bladder111
72x4	20473	Bladder111
36x28	24273	Bladder111
11x70	17192	Bladder111
40x11	36945	Bladder111
66x46	28469	Bladder111
27x24	23610	Bladder111
6x10	34342	Bladder111
5x68	38076	Bladder111
7x5	34680	Bladder111
40x16	80342	Bladder111
7x40	64235	Bladder111
70x64	26048	Bladder111
60x14	54794	Bladder111
2x45	44392	Bladder111
4x17	46136	Bladder111
55x41	26844	Bladder111
64x18	64845	Bladder111
43x22	48653	Bladder111
20x18	29340	Bladder111
36x38	25283	Bladder111
57x15	39527	Bladder111
65x11	36760	Bladder111
49x34	39744	Bladder111
6x42	32712	Bladder111
45x52	17526	Bladder111
56x13	31056	Bladder111
40x62	19057	Bladder111
46x65	14878	Bladder111
14x32	39419	Bladder111
64x40	37564	Bladder111
57x18	33571	Bladder111
31x36	18780	Bladder111
35x25	35363	Bladder111
36x7	10808	Bladder111
11x62	9369	Bladder111
28x28	30560	Bladder111
43x71	12724	Bladder111
9x8	21197	Bladder111
49x9	46428	Bladder111
47x65	17259	Bladder111
28x36	15319	Bladder111
7x23	45363	Bladder111
37x20	80974	Bladder111
50x61	13092	Bladder111
24x43	37973	Bladder111
8x51	16270	Bladder111
10x46	29312	Bladder111
3x66	26820	Bladder111
51x7	27059	Bladder111
37x14	89758	Bladder111
32x25	23233	Bladder111
33x18	35760	Bladder111
22x7	11540	Bladder111
